filename,predicted_label,class_name,confidence,sampler,steps
fashion_00000.png,8,bolsa,0.789354,DDPM,1000
fashion_00001.png,2,pulôver,0.564237,DDPM,1000
fashion_00002.png,9,bota,0.948382,DDPM,1000
fashion_00003.png,3,vestido,0.712650,DDPM,1000
fashion_00004.png,8,bolsa,0.999589,DDPM,1000
fashion_00005.png,2,pulôver,0.798895,DDPM,1000
fashion_00006.png,6,camisa,0.313030,DDPM,1000
fashion_00007.png,6,camisa,0.825520,DDPM,1000
fashion_00008.png,3,vestido,0.916028,DDPM,1000
fashion_00009.png,6,camisa,0.782513,DDPM,1000
fashion_00010.png,3,vestido,0.586777,DDPM,1000
fashion_00011.png,6,camisa,0.710608,DDPM,1000
fashion_00012.png,0,camiseta,0.414921,DDPM,1000
fashion_00013.png,6,camisa,0.746683,DDPM,1000
fashion_00014.png,8,bolsa,0.998806,DDPM,1000
fashion_00015.png,0,camiseta,0.516403,DDPM,1000
fashion_00016.png,9,bota,0.549570,DDPM,1000
fashion_00017.png,2,pulôver,0.832299,DDPM,1000
fashion_00018.png,3,vestido,0.828212,DDPM,1000
fashion_00019.png,6,camisa,0.456934,DDPM,1000
fashion_00020.png,4,casaco,0.555519,DDPM,1000
fashion_00021.png,6,camisa,0.725545,DDPM,1000
fashion_00022.png,8,bolsa,0.288125,DDPM,1000
fashion_00023.png,8,bolsa,0.994937,DDPM,1000
fashion_00024.png,6,camisa,0.469017,DDPM,1000
fashion_00025.png,6,camisa,0.512621,DDPM,1000
fashion_00026.png,6,camisa,0.865188,DDPM,1000
fashion_00027.png,0,camiseta,0.329864,DDPM,1000
fashion_00028.png,6,camisa,0.980275,DDPM,1000
fashion_00029.png,0,camiseta,0.973238,DDPM,1000
fashion_00030.png,2,pulôver,0.966890,DDPM,1000
fashion_00031.png,0,camiseta,0.899107,DDPM,1000
fashion_00032.png,4,casaco,0.635548,DDPM,1000
fashion_00033.png,8,bolsa,0.955078,DDPM,1000
fashion_00034.png,2,pulôver,0.832920,DDPM,1000
fashion_00035.png,8,bolsa,0.672111,DDPM,1000
fashion_00036.png,8,bolsa,0.748019,DDPM,1000
fashion_00037.png,8,bolsa,0.570862,DDPM,1000
fashion_00038.png,6,camisa,0.808815,DDPM,1000
fashion_00039.png,9,bota,0.546144,DDPM,1000
fashion_00040.png,2,pulôver,0.575296,DDPM,1000
fashion_00041.png,6,camisa,0.421240,DDPM,1000
fashion_00042.png,0,camiseta,0.579003,DDPM,1000
fashion_00043.png,0,camiseta,0.427006,DDPM,1000
fashion_00044.png,1,calça,0.379141,DDPM,1000
fashion_00045.png,0,camiseta,0.687616,DDPM,1000
fashion_00046.png,6,camisa,0.624671,DDPM,1000
fashion_00047.png,6,camisa,0.677285,DDPM,1000
fashion_00048.png,0,camiseta,0.561634,DDPM,1000
fashion_00049.png,2,pulôver,0.317536,DDPM,1000
fashion_00050.png,8,bolsa,0.348599,DDPM,1000
fashion_00051.png,8,bolsa,0.701476,DDPM,1000
fashion_00052.png,0,camiseta,0.673069,DDPM,1000
fashion_00053.png,4,casaco,0.581353,DDPM,1000
fashion_00054.png,8,bolsa,0.995500,DDPM,1000
fashion_00055.png,0,camiseta,0.857485,DDPM,1000
fashion_00056.png,2,pulôver,0.830115,DDPM,1000
fashion_00057.png,6,camisa,0.658369,DDPM,1000
fashion_00058.png,6,camisa,0.708026,DDPM,1000
fashion_00059.png,8,bolsa,0.971625,DDPM,1000
fashion_00060.png,6,camisa,0.738267,DDPM,1000
fashion_00061.png,7,tênis,0.987371,DDPM,1000
fashion_00062.png,6,camisa,0.976132,DDPM,1000
fashion_00063.png,6,camisa,0.407566,DDPM,1000
fashion_00064.png,6,camisa,0.744750,DDPM,1000
fashion_00065.png,6,camisa,0.729026,DDPM,1000
fashion_00066.png,9,bota,0.640118,DDPM,1000
fashion_00067.png,2,pulôver,0.655700,DDPM,1000
fashion_00068.png,3,vestido,0.680267,DDPM,1000
fashion_00069.png,6,camisa,0.635222,DDPM,1000
fashion_00070.png,9,bota,0.550764,DDPM,1000
fashion_00071.png,4,casaco,0.865312,DDPM,1000
fashion_00072.png,0,camiseta,0.513618,DDPM,1000
fashion_00073.png,0,camiseta,0.706796,DDPM,1000
fashion_00074.png,6,camisa,0.912976,DDPM,1000
fashion_00075.png,0,camiseta,0.796246,DDPM,1000
fashion_00076.png,2,pulôver,0.787674,DDPM,1000
fashion_00077.png,6,camisa,0.971720,DDPM,1000
fashion_00078.png,6,camisa,0.450030,DDPM,1000
fashion_00079.png,2,pulôver,0.718946,DDPM,1000
fashion_00080.png,4,casaco,0.959418,DDPM,1000
fashion_00081.png,0,camiseta,0.524369,DDPM,1000
fashion_00082.png,8,bolsa,0.988972,DDPM,1000
fashion_00083.png,4,casaco,0.834107,DDPM,1000
fashion_00084.png,0,camiseta,0.608642,DDPM,1000
fashion_00085.png,9,bota,0.284647,DDPM,1000
fashion_00086.png,6,camisa,0.914046,DDPM,1000
fashion_00087.png,2,pulôver,0.386380,DDPM,1000
fashion_00088.png,2,pulôver,0.742576,DDPM,1000
fashion_00089.png,9,bota,0.908378,DDPM,1000
fashion_00090.png,8,bolsa,0.528124,DDPM,1000
fashion_00091.png,6,camisa,0.974238,DDPM,1000
fashion_00092.png,8,bolsa,0.998612,DDPM,1000
fashion_00093.png,8,bolsa,0.905303,DDPM,1000
fashion_00094.png,0,camiseta,0.936886,DDPM,1000
fashion_00095.png,4,casaco,0.288362,DDPM,1000
fashion_00096.png,8,bolsa,0.999968,DDPM,1000
fashion_00097.png,0,camiseta,0.394851,DDPM,1000
fashion_00098.png,0,camiseta,0.599770,DDPM,1000
fashion_00099.png,6,camisa,0.731305,DDPM,1000
fashion_00100.png,6,camisa,0.449325,DDPM,1000
fashion_00101.png,6,camisa,0.872755,DDPM,1000
fashion_00102.png,2,pulôver,0.608369,DDPM,1000
fashion_00103.png,6,camisa,0.713204,DDPM,1000
fashion_00104.png,3,vestido,0.919816,DDPM,1000
fashion_00105.png,0,camiseta,0.523795,DDPM,1000
fashion_00106.png,8,bolsa,0.791563,DDPM,1000
fashion_00107.png,4,casaco,0.699058,DDPM,1000
fashion_00108.png,2,pulôver,0.668665,DDPM,1000
